frequency_hz,normal_raw_power,inner_raw_power,outer_raw_power,normal_envelope_power,inner_envelope_power,outer_envelope_power
296.651216082,6.062765018e-09,1.098468149e-01,7.348577130e-03,2.368987107e-09,3.969589111e+01,1.290966573e-01
299.984375814,2.285385393e-07,5.213703855e-02,1.877003495e-02,5.261643091e-08,1.226314721e+01,7.913932797e+00
303.317535545,8.804061182e-06,6.638455087e-03,1.134913441e+00,2.264546435e-06,2.605251969e-02,2.946636107e+02
306.650695276,1.100889437e-05,4.047543793e-03,1.446604944e+00,2.803456764e-06,6.415035121e-03,3.674275465e+02
309.983855008,6.424745642e-07,2.778451012e-03,1.000281939e-01,2.015980668e-07,4.862709195e-03,2.102919549e+01
313.317014739,9.543129947e-09,6.368153386e-03,1.595004787e-04,6.295724016e-09,2.747341761e-02,4.384933036e-01
316.650174470,9.816332575e-10,2.023497017e-04,2.795126962e-03,1.773568279e-09,1.194654584e+00,6.545757223e-03
319.983334201,1.959277984e-10,9.545919626e-02,2.445282457e-04,1.063323896e-09,2.034474720e+01,2.794040500e-03
323.316493933,5.533192413e-11,1.188360836e-01,3.323324217e-03,9.139573996e-10,1.931060774e+01,5.802249766e-02
326.649653664,8.230747867e-11,1.690570614e-02,2.012731769e-03,3.385750129e-09,7.689916126e-01,1.153153298e-02
329.982813395,2.947430548e-10,4.446062717e-03,7.554988962e-03,2.009052020e-09,4.138628054e-02,3.322840440e-02
333.315973126,1.075032425e-10,3.371868142e-03,4.742138711e-02,3.357066890e-09,3.363373082e-03,1.095020831e-01
